"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","gameweek_points","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card","goal_difference","game_week","team_gameweek_id","opp_team_gameweek_id","cumu_points","cumu_goal_difference","cumu_goals","team_standing_rank","opp_standing_rank","standing_difference","close_standing_flag","against_top_6_flag","value_point","points_lag1","points_lag2","points_lag3","opponent_standing_lag1","opponent_standing_lag2","opponent_standing_lag3"
"72","FUL",2,1,10,5,3,0,0,13,1,484,4,14,3,0,0.57,"20180901","BHA",2,"BHAvFUL20180901","away",0,1,0.2,0.4,1,242,4.66666666666667,Inf,0,4,"FUL-4","BHA-4",4,-2,7,13,14,1,1,0,1,3,0,0,18,5,4
"73","MCI",2,2,23,7,1,0,0,27,4,722,2,5,0,0,0.72,"20180901","NEW",1,"MCIvNEW20180901","home",1,3,0.0869565217391304,0.285714285714286,0,361,Inf,Inf,1,4,"MCI-4","NEW-4",10,8,11,4,18,14,0,0,4.66666666666667,1,3,3,14,20,18
"74","NEW",1,1,3,2,5,0,0,5,0,141,1,13,0,0,0.28,"20180901","MCI",2,"MCIvNEW20180901","away",0,0,0.333333333333333,0.5,0,141,Inf,Inf,-1,4,"NEW-4","MCI-4",1,-3,3,18,4,-14,0,1,-Inf,0,1,0,3,16,8
"75","yCC",2,2,14,3,8,0,0,29,3,164,3,12,3,0,0.31,"20180902","ARS",3,"yCCvARS20180902","home",0,0,0.142857142857143,0.666666666666667,0,82,4,Inf,-1,4,"yCC-4","ARS-4",2,-3,2,16,9,-7,0,0,-Inf,1,1,0,19,12,5
"76","ARS",3,3,17,11,1,0,0,24,9,571,1,14,4,0,0.69,"20180902","yCC",2,"yCCvARS20180902","away",1,3,0.176470588235294,0.272727272727273,0,190.333333333333,3.5,Inf,1,4,"ARS-4","yCC-4",6,0,8,9,16,7,0,0,2.33333333333333,3,0,0,20,3,6
"77","WAT",2,2,7,3,2,0,0,17,3,196,2,9,2,0,0.4,"20180902","TOT",1,"WATvTOT20180902","home",1,3,0.285714285714286,0.666666666666667,0,98,4.5,Inf,1,4,"WAT-4","TOT-4",12,6,9,3,5,2,1,1,0.666666666666667,3,3,3,10,15,15
"78","TOT",1,0,11,2,1,0,0,39,10,469,2,8,1,0,0.6,"20180902","WAT",2,"WATvTOT20180902","away",0,0,0.0909090909090909,0.5,1,469,8,Inf,-1,4,"TOT-4","WAT-4",9,5,9,5,3,-2,1,1,-Inf,3,3,3,13,18,14
"79","BUR",0,0,9,2,7,0,0,26,2,365,1,7,2,0,0.46,"20180902","MUN",2,"BURvMUN20180902","home",0,0,0,0,0,Inf,3.5,Inf,-2,4,"BUR-4","MUN-4",1,-6,3,19,10,-9,0,0,-Inf,0,0,1,11,4,11
"80","MUN",2,1,21,9,2,0,1,25,5,446,1,13,3,1,0.54,"20180902","BUR",0,"BURvMUN20180902","away",1,3,0.0952380952380952,0.222222222222222,1,223,4.33333333333333,13,2,4,"MUN-4","BUR-4",6,-1,6,10,19,9,0,0,3,0,0,3,2,11,13
"81","TOT",1,1,11,3,8,0,0,19,5,476,3,17,0,0,0.58,"20180915","LIV",2,"TOTvLIV20180915","home",0,0,0.0909090909090909,0.333333333333333,0,476,Inf,Inf,-1,5,"TOT-5","LIV-5",9,4,10,6,2,-4,0,1,-Inf,0,3,3,3,13,18
